Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
2,Scarlett Johansson,,Drama,32,0,0
13,Lena Headey,,Action,15,0,0
14,David Wenham,,Action,3,0,0
15,Dominic West,,Action,9,0,0
16,Daniel Craig,,Adventure,16,0,0
17,Eva Green,,Action,11,0,0
18,Judi Dench,,Adventure,9,0,0
19,Jeffrey Wright,,Mystery,9,0,0
24,Ivana Baquero,,Drama,3,0,1
25,Ariadna Gil,,Drama,3,0,1
26,Sergi Lopez,,Drama,3,0,1
27,Maribel Verdu,,Drama,3,0,1
34,Chiwetel Ejiofor,,Drama,26,0,0
61,Albert Finney,,Comedy,3,0,0
62,Marion Cotillard,,Drama,14,0,0
90,Thandie Newton,,Drama,11,0,0
92,Brian Howe,,Biography,3,0,0
137,Samuel L. Jackson,,Action,26,0,0
138,Julianna Margulies,,Action,3,0,0
139,Nathan Phillips,,Action,3,0,0
140,Rachel Blanchard,,Action,3,0,0
171,Javier Bardem,,Drama,18,0,0
194,Robert Downey Jr.,,Action,26,0,0
197,Kurt Russell,,Thriller,14,0,0
198,Zoe Bell,,Thriller,5,0,0
199,Rosario Dawson,,Thriller,18,0,0
200,Vanessa Ferlito,,Thriller,3,0,0
215,James McAvoy,,Drama,25,0,0
254,Chris Evans,,Sci-Fi,22,0,0
269,Ed Harris,,Drama,9,0,0
286,Freddie Highmore,,Drama,3,0,0
287,Keri Russell,,Drama,9,0,0
288,Jonathan Rhys Meyers,,Drama,3,0,0
289,Terrence Howard,,Drama,6,0,0
298,John Cusack,,Fantasy,9,0,0
299,Mary McCormack,,Fantasy,3,0,0
300,Paul Birchard,,Fantasy,3,0,0
301,Rose McGowan,,Action,9,0,0
302,Danny Trejo,,Action,3,0,0
320,Nicole Kidman,,Drama,18,0,0
321,Dakota Blue Richards,,Adventure,3,0,0
322,Ben Walker,,Adventure,3,0,0
349,Gwyneth Paltrow,,Action,9,0,0
363,Terence Stamp,,Action,3,0,0
372,Tilda Swinton,,Drama,12,0,0
409,Guy Pearce,,Drama,12,0,0
415,Hayden Christensen,,Action,3,0,0
416,Jamie Bell,,Action,21,0,0
417,Rachel Bilson,,Action,3,0,0
433,Olga Kurylenko,,Action,9,0,0
483,Zoe Saldana,,Adventure,16,0,0
486,Chris Pine,,Action,23,0,0
487,Zachary Quinto,,Action,9,0,0
488,Leonard Nimoy,,Action,3,0,0
502,Jude Law,,Action,16,0,0
503,Rachel McAdams,,Action,19,0,0
528,Amanda Peet,,Action,3,0,0
576,Anika Noni Rose,,Animation,6,0,0
577,Keith David,,Animation,3,0,0
578,Oprah Winfrey,,Animation,6,0,0
579,Bruno Campos,,Animation,3,0,0
626,Vincent Cassel,,Drama,15,0,0
627,Winona Ryder,,Drama,3,0,0
646,Mickey Rourke,,Action,9,0,0
647,Don Cheadle,,Action,7,0,0
712,Ethan Suplee,,Action,3,0,0
720,Michael Fassbender,,Drama,33,0,0
721,Andreas Wisniewski,,Action,3,0,0
747,Hugo Weaving,,Sci-Fi,9,0,0
748,Hayley Atwell,,Action,3,0,0
768,Jared Harris,,Action,9,0,0
806,Su Elliot,,Drama,3,0,0
852,Naomie Harris,,Action,3,0,0
873,Karl Urban,,Action,12,0,0
874,Olivia Thirlby,,Action,6,0,0
875,Rachel Wood,,Action,3,0,0
958,Andrea Riseborough,,Comedy,9,0,0
962,Lea Seydoux,,Drama,9,0,0
963,Adele Exarchopoulos,,Drama,6,0,0
964,Salim Kechiouche,,Drama,3,0,0
965,Aurelien Recoing,,Drama,3,0,0
971,Benedict Cumberbatch,,Action,12,0,0
980,Eddie Marsan,,Comedy,3,0,0
990,Jeremy McWilliams,,Drama,3,0,0
991,Lynsey Taylor Mackay,,Drama,3,0,0
992,Dougie McConnell,,Drama,3,0,0
996,Joseph Mawle,,Drama,3,0,0
1038,Jennifer Jason Leigh,,Drama,6,0,0
1073,Danny Sapani,,Crime,3,0,0
1120,Essie Davis,,Drama,6,0,0
1121,Noah Wiseman,,Drama,3,0,0
1122,Daniel Henshall,,Drama,3,0,0
1123,Hayley McElhinney,,Drama,3,0,0
1150,Sullivan Stapleton,,Action,3,0,0
1151,Hans Matheson,,Action,3,0,0
1160,Min-sik Choi,,Action,3,0,0
1161,Amr Waked,,Action,3,0,0
1211,Emma Fitzpatrick,,Comedy,3,0,0
1212,John Cullum,,Comedy,3,0,0
1214,Kenneth Branagh,,Action,6,0,0
1253,Walton Goggins,,Crime,3,0,0
1325,Jack Madigan,,Drama,3,0,0
1326,Frank Madigan,,Drama,3,0,0
1406,Toby Jones,,Drama,3,0,0
1426,Julia Roberts,,Drama,9,0,0
1427,Dean Norris,,Crime,3,0,0
1433,Julian Barratt,,Comedy,3,0,0
1467,Sebastian Stan,,Action,3,0,0
1468,Benedict Wong,,Action,3,0,0
1502,Vincent Ebrahim,,Action,3,0,0
1978,Nathalie Baye,,Drama,3,0,0
9,Matt Damon,,Thriller,30,1,0
28,Gerardo Taracena,,Action,3,1,2
29,Raoul Max Trujillo,,Action,3,1,2
30,Dalia Hernandez,,Action,3,1,2
31,Rudy Youngblood,,Action,3,1,2
32,Julianne Moore,,Drama,15,1,0
36,Meryl Streep,,Comedy,17,1,0
37,Adrian Grenier,,Comedy,6,1,0
38,Emily Blunt,,Drama,23,1,0
170,Tommy Lee Jones,,Action,11,1,0
172,Josh Brolin,,Drama,29,1,0
308,Freddy Rodriguez,,Action,3,1,0
309,Marley Shelton,,Action,3,1,0
340,Pierce Brosnan,,Mystery,12,1,0
350,Jeff Bridges,,Adventure,18,1,0
660,Ewan McGregor,,Thriller,9,1,0
661,Olivia Williams,,Mystery,3,1,0
662,Jon Bernthal,,Action,9,1,0
667,Garrett Hedlund,,Adventure,12,1,0
668,Olivia Wilde,,Action,9,1,0
669,Bruce Boxleitner,,Action,3,1,0
