Genre: Drama , Number of movies: 513.
Genre: Action , Number of movies: 303.
Genre: Comedy , Number of movies: 279.
Genre: Adventure , Number of movies: 259.
Genre: Thriller , Number of movies: 195.
Genre: Crime , Number of movies: 150.
Genre: Romance , Number of movies: 141.
Genre: Sci-Fi , Number of movies: 120.
Genre: Horror , Number of movies: 119.
Genre: Mystery , Number of movies: 106.
Genre: Fantasy , Number of movies: 101.
Genre: Biography , Number of movies: 81.
Genre: Family , Number of movies: 51.
Genre: Animation , Number of movies: 49.
Genre: History , Number of movies: 29.
Genre: Sport , Number of movies: 18.
Genre: Music , Number of movies: 16.
Genre: War , Number of movies: 13.
Genre: Western , Number of movies: 7.
Genre: Musical , Number of movies: 5.
